	0(0)	1(1)	2(2)	3(3)	4(4)	5(5)	6(6)	7(7)	8(8)	9(9)	A(10)	B(11)	C(12)	D(13)	E(14)	F(15)		
																		
																		
DB	0	0	0	18	24	42	42	42	42	42	42	42	24	18	0	0	0	0
DB	0	0	0	10	1C	10	10	10	10	10	10	10	10	7C	0	0	1	1
DB	0	0	0	3C	42	42	42	40	20	10	8	4	42	7E	0	0	2	2
DB	0	0	0	3C	42	42	40	20	18	20	40	42	42	3C	0	0	3	3
DB	0	0	0	20	30	30	28	24	24	22	FE	20	20	F8	0	0	4	4
DB	0	0	0	7E	2	2	2	1E	22	40	40	42	22	1C	0	0	5	5
DB	0	0	0	18	24	2	2	3A	46	42	42	42	44	38	0	0	6	6
DB	0	0	0	7E	42	20	20	10	10	8	8	8	8	8	0	0	7	7
DB	0	0	0	3C	42	42	42	24	18	24	42	42	42	3C	0	0	8	8
DB	0	0	0	1C	22	42	42	42	62	5C	40	40	24	18	0	0	9	9
DB	0	0	0	8	8	18	14	14	24	3C	22	42	42	E7	0	0	A	10
DB	0	0	0	1F	22	22	22	1E	22	42	42	42	22	1F	0	0	B	11
DB	0	0	0	7C	42	42	1	1	1	1	1	42	22	1C	0	0	C	12
DB	0	0	0	1F	22	42	42	42	42	42	42	42	22	1F	0	0	D	13
DB	0	0	0	3F	42	12	12	1E	12	12	2	42	42	3F	0	0	E	14
DB	0	0	0	3F	42	12	12	1E	12	12	2	2	2	7	0	0	F	15
